EQN.TO,2010-03-10,2009:Q4
EGU.TO,2010-03-18,2009:Q4
EXEu.TO,2010-03-16,2009:Q4
FFH.TO,2010-02-18,2009:Q4
FTT.TO,2010-02-23,2009:Q4
FM.TO,2010-03-16,2009:Q4
FSV.TO,2010-02-24,2009:Q4
FNX.TO,2010-02-26,2009:Q4
FCEu.TO,2010-03-02,2009:Q4
FTS.TO,2010-02-04,2009:Q4
FGL.TO,2009-12-10,2010:Q3
FNV.TO,2010-03-25,2009:Q4
FRUu.TO,2010-03-03,2009:Q4
GBU.TO,2010-03-11,2009:Q4
GAM.TO,2010-03-30,2009:Q4
WN.TO,2010-02-23,2009:Q4
GNA.TO,2010-02-25,2009:Q4
GIL.TO,2009-12-10,2009:A
GMP.TO,2010-03-02,2009:Q4
G.TO,2010-03-11,2009:Q4
GSC.TO,2010-02-24,2009:Q4
GBG.TO,2010-03-22,2009:Q4
GWO.TO,2010-02-11,2009:Q4
AER.TO,2010-03-04,2009:Q4
HRu.TO,2010-02-25,2009:Q4
HCG.TO,2010-02-10,2009:Q4
HBM.TO,2010-03-03,2009:Q4
HSE.TO,2010-02-03,2009:Q4
IMG.TO,2010-02-17,2009:Q4
BIN.TO,2010-02-23,2009:Q4
IGM.TO,2010-02-12,2009:Q4
IMO.TO,2010-02-02,2009:Q4
IAG.TO,2010-02-12,2009:Q4
IMN.TO,2010-02-09,2009:Q4
IFC.TO,2010-02-17,2009:Q4
IPLu.TO,2010-02-18,2009:Q4
IE.TO,2010-03-16,2009:Q4
IVN.TO,2010-03-31,2009:Q4
JAG.TO,2010-03-22,2009:Q4
JAZu.TO,2010-02-09,2009:Q4
PJC.A.TO,2010-01-08,2010:Q3
JEu.TO,2010-02-11,2010:Q3
KEYu.TO,2010-02-18,2009:Q4
K.TO,2010-02-17,2009:Q4
LIFu.TO,2010-03-03,2009:Q4
LSG.TO,2010-03-10,2009:Q4
LB.TO,2009-12-09,2009:A
LNR.TO,2010-03-04,2009:Q4
L.TO,2010-02-17,2009:Q4
LUN.TO,2010-02-25,2009:Q4
MDA.TO,2010-03-18,2009:Q4
MG.A.TO,2010-02-25,2009:Q4
MDI.TO,2009-09-08,2010:Q1
MBT.TO,2010-02-04,2009:Q4
MFC.TO,2010-02-11,2009:Q4
MFI.TO,2010-02-24,2009:Q4
MDS.TO,2010-01-21,2009:Q4
MX.TO,2010-01-27,2009:Q4
MRU.A.TO,2009-11-18,2009:A
MFL.TO,2010-02-26,2009:Q4
MTL.TO,2010-02-25,2009:Q4
NAEu.TO,2010-03-10,2009:Q4
NA.TO,2009-12-03,2009:A
NGD.TO,2010-03-04,2009:Q4
NXY.TO,2010-02-18,2009:Q4
NKO.TO,2009-08-13,2010:Q1
NWFu.TO,2009-12-10,2010:Q3
NGX.TO,2010-03-09,2009:Q4
NPIu.TO,2010-02-25,2009:Q4
NG.TO,2010-02-11,2009:Q4
NVA.TO,2010-03-08,2009:Q4
OCX.TO,2010-02-25,2009:Q4
OTC.TO,2009-10-27,2010:Q1
OSK.TO,2010-02-16,2009:Q4
PRE.TO,2010-03-15,2009:Q4
PAA.TO,2010-02-15,2009:Q4
PMTu.TO,2010-03-09,2009:Q4
PSI.TO,2010-02-24,2009:Q4
PIFu.TO,2010-03-04,2009:Q4
PGFu.TO,2010-03-08,2009:Q4
PWTu.TO,2010-02-18,2009:Q4
PBN.TO,2010-03-04,2009:Q4
PBG.TO,2010-03-16,2009:Q4
PEYu.TO,2010-03-10,2009:Q4
POT.TO,2010-01-28,2009:Q4
POW.TO,2010-03-11,2009:Q4
PWF.TO,2010-03-11,2009:Q4
PDu.TO,2010-02-12,2009:Q4
PMZu.TO,2010-03-10,2009:Q4
PRQ.TO,2010-02-24,2009:Q4
PVEu.TO,2010-03-11,2009:Q4
QUA.TO,2010-03-08,2009:Q4
QBR.B.TO,2010-03-10,2009:Q4
RBI.TO,2010-02-26,2009:Q4
RET.A.TO,2009-12-08,2010:Q3
RIM.TO,2009-12-17,2010:Q3
REIu.TO,2010-02-09,2009:Q4
RBA.TO,2010-03-04,2009:Q4
RCI.B.TO,2010-02-17,2009:Q4
RON.TO,2010-02-25,2009:Q4
RY.TO,2009-12-04,2009:A
RMX.TO,2010-03-31,2009:Q4
RUS.TO,2010-02-18,2009:Q4
SAP.TO,2009-08-04,2010:Q1
SVY.TO,2010-03-10,2009:Q4
SCC.TO,2010-02-23,2010:Q4
SMF.TO,2010-03-17,2009:Q4
SJR.B.TO,2009-10-23,2009:A
SCL.A.TO,2010-03-03,2009:Q4
S.TO,2010-02-24,2009:Q4
SC.TO,2010-02-11,2009:Q4
SSO.TO,2010-03-04,2009:Q4
SLW.TO,2010-03-04,2009:Q4
SVM.TO,2010-02-09,2010:Q3
TRE.TO,2010-03-16,2009:Q4
SNC.TO,2010-03-05,2009:Q4
STN.TO,2010-02-25,2009:Q4
SLF.TO,2010-02-11,2009:Q4
SU.TO,2010-02-02,2009:Q4
SPB.TO,2010-02-18,2009:Q4
SXC.TO,2010-03-04,2009:Q4
TLM.TO,2010-02-10,2009:Q4
TKO.TO,2010-03-18,2009:Q4
TCK.B.TO,2010-02-08,2009:Q4
T.TO,2010-02-12,2009:Q4
TCM.TO,2010-02-25,2009:Q4
TRI.TO,2010-02-24,2009:Q4
THI.TO,2010-02-25,2009:A
X.TO,2010-02-10,2009:Q4
TIH.TO,2010-02-08,2009:Q4
TD.TO,2009-12-03,2009:A
TA.TO,2010-02-24,2009:Q4
TRZ.B.TO,2009-12-16,2009:Q4
TRP.TO,2010-02-23,2009:Q4
TCL.A.TO,2009-12-15,2009:Q4
TFI.TO,2010-02-25,2009:Q4
TCW.TO,2010-03-04,2009:Q4
TDG.TO,2010-03-03,2009:Q4
UUU.TO,2010-03-10,2009:Q4
UTS.TO,2010-03-24,2009:Q4
VETu.TO,2010-03-03,2009:Q4
VT.TO,2010-01-21,2009:Q4
WFT.TO,2010-02-12,2009:Q4
WTN.TO,2009-08-14,2010:Q1
WJA.TO,2010-02-17,2009:Q4
WTEu.TO,2010-03-30,2009:Q4
YRI.TO,2010-03-03,2009:Q4
YLOu.TO,2010-02-11,2009:C4
AAV.TO,2009-11-12,2009:Q3
ARE.TO,2009-11-03,2009:Q3
AGF.B.TO,2009-09-23,2009:Q3
AEM.TO,2009-10-28,2009:Q3
AGU.TO,2009-11-04,2009:Q3
AGI.TO,2009-11-05,2009:Q3
ATD.B.TO,2009-07-14,2009:A
ALAu.TO,2009-11-05,2009:Q3
AETu.TO,2009-11-05,2009:Q3
ACM.A.TO,2009-10-27,2009:Q4
ACO.X.TO,2009-10-30,2009:Q3
ATP.TO,2009-11-10,2009:Q3
ARZ.TO,2009-11-05,2009:Q3
BMO.TO,2009-11-24,2009:Q4
BNS.TO,2009-08-28,2009:Q3
BNK.TO,2009-11-13,2009:Q3
